29.07,71.64,1006.07,69.53,440.51
26.82,75.08,1005.93,60.81,441.14
32.51,71.22,1005.62,47.6,433.76
28.18,64.84,1009.22,56.04,443.65
26.52,73.21,1002.3,95.38,437.02
6.43,36.08,1022.73,85.03,486.39
24.65,64.63,1020.52,53.45,446.04
24.51,51.86,1014.64,67.57,446.74
25.16,58.82,1009.63,72.62,442
11.45,45.01,1018.88,92.12,470.4
8.03,40.07,1016.06,47.46,488.02
9.59,40.11,1026.05,74.27,470.71
16.58,37.64,1015.23,81.59,460.48
21.47,70.32,1011.72,88.36,440
7.1,35.77,1015.39,92.1,480.36
9.86,42.49,1009.16,81.41,477.78
28.86,67.9,1006.29,57.19,432.97
14.33,42.86,1010.82,88.59,469.52
26.2,65.18,1011.42,47.82,440.07
27.01,63.78,1016.72,47.89,442.6
27.1,73.21,1002.97,89.68,430.87
7.97,39.04,1018.51,65.17,483.3
26.96,65.34,1015.05,46.93,441.81
20.51,42.23,1013.25,71.83,461.78
17.28,39.99,1007.09,74.25,463.28
7.18,38.56,1016.49,70.37,487.63
26.97,64.45,1009.43,53.96,443.75
14.54,41.17,1015.15,67.78,470.19
15.25,43.02,1012.04,41.43,467.23
25.01,66.56,1004.55,82.46,434.74
14.66,47.83,1006.15,91.98,461.46
25.14,63.47,1012.58,70.27,443.93
27.6,73.42,1011.91,83.66,431.44
5.15,45.87,1008.02,98.36,479.61
19.31,60.07,1014.86,69.37,453.47
18.14,49.78,1002.95,100.09,451.44
13.2,45.01,1013.96,78.78,466.71
13.2,41.78,1010.49,64.96,468.58
23.1,72.99,1008.85,90.54,440.46
24.35,59.21,1018.21,54.46,444.35
24.33,46.93,1013.61,53.02,450.04
16,40.66,1016.12,89.23,457.12
21.87,74.87,1009.28,85.4,442.37
16.77,45.01,1013.47,81.42,458.22
23.09,45.01,1012.25,43.95,453.45
27.26,73.18,1012.58,74.83,429.92
7.06,41.74,1021.95,90.38,448.97
9.97,41.26,1020.6,91.14,475.43
13.52,39.39,1012.91,84.03,474.82
25.92,50.16,1003.95,71.3,440.98
20.46,59.21,1018.42,85.89,445.22
12.28,43.67,1012.69,70.23,475.08
27.76,71.97,1008.53,86.97,434.04
22.88,65.48,1017.33,66.26,447.14
29.17,72.99,1006.86,64.92,430.59
11.8,43.99,1020.86,98.44,466.75
22.75,57.76,1017.83,66.54,452.33
6.94,38.91,1018.94,90.64,485.12
16.42,40.56,1020.36,50.62,472.17
26.3,77.95,1009.45,78.72,437.95
18.4,50.16,1011.51,98.07,453.78
31.86,73.88,1005.6,57.68,435.91
